"company_name","bloom_field","bloom_postings","total","cum_postings","cum_share","n_companies","company_index","company_share"
"world health organization","Machine Learning AI",89,34632,13323,0.405768410793689,2578,62,0.0240496508921645
"accenture dach","Machine Learning AI",88,34632,13411,0.408448559420113,2578,63,0.0244375484871994
"drooms gmbh","Cloud computing",88,68768,29442,0.465522966242391,4399,129,0.0293248465560355
"vmware","Cloud computing",88,68768,29530,0.466914380583445,4399,130,0.0295521709479427
"afry","Solar Power",87,7667,1931,0.307337259271049,744,12,0.0161290322580645
"bechtle schweiz ag","Cloud computing",87,68768,29617,0.468289983397897,4399,131,0.02977949533985
"erni schweiz ag","Cloud computing",87,68768,29704,0.469665586212349,4399,132,0.0300068197317572
"mss holding ag","Smart devices",87,24824,7068,0.30887558449504,2641,35,0.0132525558500568
"parashift","Machine Learning AI",87,34632,13498,0.411098251812146,2578,64,0.0248254460822343
"salesforce.org","Cloud computing",87,68768,29791,0.471041189026801,4399,133,0.0302341441236645
"1plusx ag","Cloud computing",86,68768,29877,0.472400980314649,4399,134,0.0304614685155717
"cern","Machine Learning AI",85,34632,13583,0.413687031735396,2578,65,0.0252133436772692
"fachkraft","Solar Power",85,7667,2016,0.320865828425911,744,13,0.0174731182795699
"iet sa","Smart devices",85,24824,7153,0.312590132412708,2641,36,0.0136312003029156
"semsea suchmaschinenmarketing ag","Machine Learning AI",85,34632,13668,0.416275811658647,2578,66,0.0256012412723041
"twint ag","Smart devices",85,24824,7238,0.316304680330376,2641,37,0.0140098447557743
"1plusx ag","Machine Learning AI",84,34632,13752,0.418834135347506,2578,67,0.025989138867339
"experis","Smart devices",84,24824,7322,0.319975527684307,2641,38,0.0143884892086331
"hays (schweiz) ag","Cloud computing",84,68768,29961,0.473729148549292,4399,135,0.030688792907479
"wabion ag","Machine Learning AI",84,34632,13836,0.421392459036365,2578,68,0.0263770364623739
"adesso schweiz","Cloud computing",83,68768,30044,0.475041505257333,4399,136,0.0309161172993862
"huawei","Smart devices",83,24824,7405,0.323602674474501,2641,39,0.0147671336614919
"oerlikon","Cloud computing",83,68768,30127,0.476353861965373,4399,137,0.0311434416912935
"department of informatics - computation and economics research group","Cloud computing",82,68768,30209,0.47765040714681,4399,138,0.0313707660832007
"department of informatics - computation and economics research group","Machine Learning AI",82,34632,13918,0.423889870256441,2578,69,0.0267649340574088
"expedia group","Machine Learning AI",82,34632,14000,0.426387281476518,2578,70,0.0271528316524438
"logicflow ag","Machine Learning AI",82,34632,14082,0.428884692696595,2578,71,0.0275407292474787
"walliserhof grand-hotel & spa","Cloud computing",81,68768,30290,0.478931140801644,4399,139,0.031598090475108
"world health organization","Cloud computing",81,68768,30371,0.480211874456479,4399,140,0.0318254148670152
"accenture","Virtual Reality",80,4164,1375,0.339757845317519,453,6,0.0132450331125828
"avalect hr-executive consulting","Cloud computing",80,68768,30451,0.48147679658471,4399,141,0.0320527392589225
